La Biblioteca di Atlante,,,
Titolo,,formato,dim.(Kb)
GRANDI OPERE,,,
Terzo ponte sul Fiume Po,,DWF,12.21
Linea ferroviaria AV/AC,,DWF,17.20
Bre-Be-Mi,,PDF,478
Cremona-Mantova Tav 1,,DWF,71.20.00
Cremona-Mantova Tav 2,,DWF,13.55
Ti-Bre,,DWF,6.53
Paullese - Lotto I,,PDF,29.23.00
Paullese - Lotto II,,PDF,5.27
Primo censimento degli alberi notevoli e monumentali della Provincia di Cremona,,,
Relazione,,PDF,17.46
DAISSIL 2007-2013,,,
Relazione,,PDF,28.09.00
Realizzazione di un modello preliminare del flusso idrico nel sistema acquifero della provincia di Cremona,,,
Relazione,,PDF,24.24.00
Tavole,,PDF,6.29
Piano di Gestione dei Rifiuti,,,
Relazione di dettaglio,,link esterno,
Piano Provinciale Cave 2016-2026,,,
Nuovo piano cave provinciale di Cremona adottato con d.c.p. n. 8 del 10 febbraio 2014 - Art. 9 della l.r. 14/1998 - Obiettivo TER 09.02.246 del PRS,,PDF,38.52.00
Carta dei giacimenti ottimali di sabbia e ghiaia,,PDF,16.15
Carta dei giacimenti ottimali di argilla,,PDF,15.27
Carta delle aree interessate da giacimenti sfruttabili,,PDF,9.07
Carta delle aree vincolate e non vincolate,,PDF,15.31
Carta delle risorse non vincolate,,PDF,11.52
Vincoli Tavola A,,PDF,29.07.00
Vincoli Tavola B,,PDF,33.51.00
Vincoli Tavola C,,PDF,27.16.00
Vincoli Tavola D,,PDF,18.37
Vincoli Tavola E,,PDF,17.19
Carte risorse di cava potenziali Nord,,PDF,40.03.00
Carte risorse di cava potenziali Sud,,PDF,29.37.00
Carte capacità d'uso del suolo Nord,,PDF,10.05
Carte capacità d'uso del suolo Sud,,PDF,17.01
Carte valore agricolo del suolo Nord,,PDF,9.27
Carte valore agricolo del suolo Sud,,PDF,16.17
Carta dell'idrografia superficiale Nord,,PDF,24.15.00
Carta dell'idrografia superficiale Sud,,PDF,22.41
Carta dell'uso del suolo e della vegetazione Nord,,PDF,15.22
Carta dell'uso del suolo e della vegetazione Sud,,PDF,11.02
Carta GEOLITOLOGICA Nord,,PDF,21.09
Carta GEOLITOLOGICA Sud,,PDF,12.43
Carta idrogeologica Nord,,PDF,15.11
Carta idrogeologica Sud,,PDF,17.51
Sezioni 1,,PDF,10.19
Sezioni 2,,PDF,5.33
Sezioni 3,,PDF,6.56
Sezioni 4,,PDF,13.29
Sezioni 5,,PDF,11.21
Sezioni A-A' L-L',,PDF,14.13
Traccia sezioni,,PDF,5.03
